5	1	40000	NR3C1	40
12	1	40000	ETNK1	40
5	1	39000	EBF1	39
11	1	38000	FGF4	38
11	1	38000	CHEK1	38
3	1	38000	SOX2	38
20	1	38000	ITCH	38
19	1	37000	AKT2	37
12	1	35000	CDK4	35
1	1	35000	CDKN2C	35
7	1	35000	RAC1	35
X	1	35000	CRLF2	35
1	1	35000	SDHB	35
17	1	35000	FLCN	35
11	1	35000	APLNR	35
1	1	34000	GNB1	34
10	1	34000	NA	34
1	1	33000	AKT3	33
21	1	32000	ERG	32
17	1	32000	SPOP	32
1	1	32000	RRAGC	32
2	1	31000	IKZF2	31
11	1	31000	SDHD	31
19	1	31000	ERCC1	31
20	1	31000	NA	31
X	1	31000	GATA1	31
2	1	30000	PCBP1	30
6	1	29000	HIST1H3B	29
19	1	28000	RPS15	28
1	1	28000	H3F3A	28
1	1	26000	RIT1	26
1	1	26000	LCK	26
6	1	26000	TMEM30A	26
13	1	26000	NA	26
7	1	25000	CDK6	25
1	1	25000	SDHC	25
6	1	24000	DEK	24
8	1	23000	LYN	23
17	1	23000	SMARCE1	23
6	1	23000	TPMT	23
22	1	22000	NA	22
17	1	22000	RAD51D	22
X	1	22000	PIGA	22
2	1	22000	STAT1	22
2	1	22000	ICOS	22
10	1	21000	NT5C2	21
1	1	21000	BCL10	21
X	1	20000	NA	20
12	1	18000	MLL2	18
10	1	17000	ANKRD26	17
2	1	17000	CTLA4	17
X	1	16000	EIF1AX	16
22	1	16000	MAPK1	16
16	1	15000	CBFB	15
15	1	15000	NA	15
9	1	15000	HNRNPK	15
17	1	13000	H3F3B	13
5	1	12000	CSNK1A1	12
1	1	11000	SPEN	11
18	1	10000	NA	10
8	1	9000	ELOC	9
5	1	9000	MSH3	9
20	1	9000	MYH7B	9
12	1	8000	PIK3C2G	8
11	1	8000	MLL	8
X	1	8000	BCORL1	8
5	1	7000	MAP3K1	7
15	1	7000	LTK	7
X	1	7000	FAM123B	7
3	1	7000	MST1R	7
13	1	7000	IRS2	7
5	1	6000	SDHA	6
7	1	6000	RHEB	6
2	1	6000	MERTK	6
20	1	5000	ZNF217	5
17	1	5000	RNF43	5
4	1	5000	WHSC1	5
8	1	5000	ZNF703	5
19	1	5000	CD22	5
9	1	5000	TEK	5
3	1	4000	EPHB1	4
7	1	4000	GRM3	4
1	1	4000	PIK3C2B	4
11	1	4000	MRE11A	4
5	1	4000	CTNNA1	4
9	1	4000	FANCC	4
4	1	4000	INPP4B	4
15	1	4000	TYRO3	4
19	1	4000	AXL	4
7	1	4000	EPHB4	4
3	1	4000	PARP3	4
3	1	4000	TGFBR2	4
16	1	4000	MYH11	4
13	1	4000	DIS3	4
1	1	3000	MYCL1	3
17	1	3000	ALOX12B	3
11	1	3000	ANO3	3
17	1	3000	SOX9	3
13	1	3000	FLT1	3
17	1	3000	MAP2K4	3
12	1	3000	ACVR1B	3
6	1	3000	PARK2	3
1	1	3000	MUTYH	3
12	1	3000	TBX3	3
11	1	3000	EMSY	3
12	1	3000	PTPRO	3
1	1	3000	HSD3B1	3
12	1	2000	KDM5A	2
17	1	2000	AURKB	2
2	1	2000	BARD1	2
6	1	2000	DAXX	2
7	1	2000	KEL	2
3	1	2000	MAP3K13	2
18	1	2000	GATA6	2
X	1	2000	P2RY8	2
X	1	2000	RBM10	2
18	1	2000	SMAD2	2
11	1	2000	FGF19	2
8	1	2000	GATA4	2
5	1	2000	SNCAIP	2
4	1	2000	IRF2	2
1	1	2000	HMCN1	2
19	1	2000	DOT1L	2
16	1	2000	CTCF	2
17	1	2000	BRIP1	2
6	1	2000	BACH2	2
14	1	2000	BCL2L2	2
14	1	2000	RAD51B	2
16	1	2000	ERCC4	2
5	1	2000	GABRA6	2
1	1	2000	TNFRSF9	2
3	1	2000	PBRM1	2
1	1	2000	PARP1	2
3	1	2000	GSK3B	2
14	1	2000	NFKBIA	2
14	1	2000	PARP2	2
5	1	2000	FGFR4	2
8	1	2000	WHSC1L1	2
19	1	1000	BORCS8-MEF2B	1
6	1	1000	DDR1	1
11	1	1000	EED	1
17	1	1000	C17orf39	1
12	1	1000	BTG1	1
13	1	1000	CUL4A	1
2	1	1000	PDK1	1
3	1	1000	PIK3CB	1
2	1	1000	REL	1
3	1	1000	FGF12	1
8	1	1000	PPP2R2A	1
5	1	1000	RICTOR	1
22	1	1000	RP1-85F18.6	1
21	1	1000	NA	1
1	1	1000	FAF1	1
12	1	1000	HDAC7	1
7	1	1000	MLL3	1
8	1	1000	GPR124	1
6	1	1000	CDKN1A	1
6	1	1000	TFEB	1
9	1	1000	LOC100507346	1
17	1	1000	RPTOR	1
12	1	1000	RAD52	1
1	1	1000	RAD54L	1
3	1	1000	PRKCI	1
13	1	1000	SGCG	1
9	1	1000	MTAP	1
1	1	1000	SDCCAG8	1
2	1	1000	FANCL	1
13	1	1000	CDK8	1
2	1	1000	PCBP1-AS1	1
5	1	1000	FGF10	1
1	1	1000	FAM46C	1
8	1	1000	ZMAT4	1
12	1	1000	FGF6	1
8	1	1000	NBN	1
10	1	1000	CYP17A1	1
6	1	1000	HLA-B	1
